PassengerId,survived,last,first,middle,m2,m3,m4,m5,m6,,,,,
NA,0,Klasen,Gertrud,Emilia,,,,,,,,,,
NA,0,Klasen,Klas,Albin,,,,,,,,,,
NA,0,Klasen,(Hulda,Kristina,Eugenia,Lofqvist),,,,,,,,
NA,0,Kraeff,Theodor,,,,,,,,,,,
NA,1,Krekorian,Neshan,,,,,,,,,,,
NA,0,Lahoud,Sarkis,,,,,,,,,,,
NA,0,Laitinen,Kristina,Sofia,,,,,,,,,,
NA,0,Laleff,Kristo,,,,,,,,,,,
NA,1,Lam,Ali,,,,,,,,,,,
NA,0,Lam,Len,,,,,,,,,,,
NA,1,Landergren,Aurora,Adelia,,,,,,,,,,
NA,0,Lane,Patrick,,,,,,,,,,,
NA,1,Lang,Fang,,,,,,,,,,,
NA,0,Larsson,August,Viktor,,,,,,,,,,
NA,0,Larsson,Bengt,Edvin,,,,,,,,,,
NA,0,Larsson-Rondberg,Edvard,A,,,,,,,,,,
NA,1,Leeni,Fahim,"(""Philip","Zenni"")",,,,,,,,,
NA,0,Lefebre,Henry,Forbes,,,,,,,,,,
NA,0,Lefebre,Ida,,,,,,,,,,,
NA,0,Lefebre,Jeannie,,,,,,,,,,,
NA,0,Lefebre,Mathilde,,,,,,,,,,,
NA,0,Lefebre,Frank,(Frances),,,,,,,,,,
NA,0,Leinonen,Antti,Gustaf,,,,,,,,,,
NA,0,Lemberopolous,Peter,L,,,,,,,,,,
NA,0,Lennon,Mary,,,,,,,,,,,
NA,0,Lennon,Denis,,,,,,,,,,,
NA,0,Leonard,Lionel,,,,,,,,,,,
NA,0,Lester,James,,,,,,,,,,,
NA,0,Lievens,Rene,Aime,,,,,,,,,,
NA,0,Lindahl,Agda,Thorilda,Viktoria,,,,,,,,,
NA,0,Lindblom,Augusta,Charlotta,,,,,,,,,,
NA,0,Lindell,Edvard,Bengtsson,,,,,,,,,,
NA,0,Lindell,Edvard,Bengtsson,(Elin,Gerda,Persson),,,,,,,
NA,1,Lindqvist,Eino,William,,,,,,,,,,
NA,0,Linehan,Michael,,,,,,,,,,,
NA,0,Ling,Lee,,,,,,,,,,,
NA,0,Lithman,Simon,,,,,,,,,,,
NA,0,Lobb,William,Arthur,,,,,,,,,,
NA,0,Lobb,William,Arthur,(Cordelia,K,Stanlick),,,,,,,
NA,0,Lockyer,Edward,,,,,,,,,,,
NA,0,Lovell,John,Hall,"(""Henry"")",,,,,,,,,
NA,1,Lulic,Nikola,,,,,,,,,,,
NA,0,Lundahl,Johan,Svensson,,,,,,,,,,
NA,1,Lundin,Olga,Elida,,,,,,,,,,
NA,1,Lundstrom,Thure,Edvin,,,,,,,,,,
NA,0,Lyntakoff,Stanko,,,,,,,,,,,
NA,0,MacKay,George,William,,,,,,,,,,
NA,1,Madigan,Margaret,Maggie,,,,,,,,,,
NA,1,Madsen,Fridtjof,Arne,,,,,,,,,,
NA,0,Maenpaa,Matti,Alexanteri,,,,,,,,,,
NA,0,Mahon,Bridget,Delia,,,,,,,,,,
NA,0,Mahon,John,,,,,,,,,,,
NA,0,Maisner,Simon,,,,,,,,,,,
NA,0,Makinen,Kalle,Edvard,,,,,,,,,,
NA,1,Mamee,Hanna,,,,,,,,,,,
NA,0,Mangan,Mary,,,,,,,,,,,
NA,1,Mannion,Margareth,,,,,,,,,,,
NA,0,Mardirosian,Sarkis,,,,,,,,,,,
NA,0,Markoff,Marin,,,,,,,,,,,
NA,0,Markun,Johann,,,,,,,,,,,
NA,1,Masselmani,Fatima,,,,,,,,,,,
NA,0,Matinoff,Nicola,,,,,,,,,,,
NA,1,McCarthy,Catherine,Katie,,,,,,,,,,
NA,1,McCormack,Thomas,Joseph,,,,,,,,,,
NA,1,McCoy,Agnes,,,,,,,,,,,
NA,1,McCoy,Alicia,,,,,,,,,,,
NA,1,McCoy,Bernard,,,,,,,,,,,
NA,1,McDermott,Brigdet,Delia,,,,,,,,,,
NA,0,McEvoy,Michael,,,,,,,,,,,
NA,1,McGovern,Mary,,,,,,,,,,,
NA,1,McGowan,Anna,Annie,,,,,,,,,,
NA,0,McGowan,Katherine,,,,,,,,,,,
NA,0,McMahon,Martin,,,,,,,,,,,
NA,0,McNamee,Neal,,,,,,,,,,,
NA,0,McNamee,Neal,(Eileen,O'Leary),,,,,,,,,
NA,0,McNeill,Bridget,,,,,,,,,,,
NA,0,Meanwell,(Marion,Ogden),,,,,,,,,,
NA,0,Meek,Thomas,(Annie,Louise,Rowley),,,,,,,,
NA,0,Meo,Alfonzo,,,,,,,,,,,
NA,0,Mernagh,Robert,,,,,,,,,,,
NA,1,Midtsjo,Karl,Albert,,,,,,,,,,
NA,0,Miles,Frank,,,,,,,,,,,
NA,0,Mineff,Ivan,,,,,,,,,,,
NA,0,Minkoff,Lazar,,,,,,,,,,,
NA,0,Mionoff,Stoytcho,,,,,,,,,,,
NA,0,Mitkoff,Mito,,,,,,,,,,,
NA,1,Mockler,Helen,Mary,Ellie,,,,,,,,,
NA,0,Moen,Sigurd,Hansen,,,,,,,,,,
NA,1,Moor,Meier,,,,,,,,,,,
NA,1,Moor,(Beila),,,,,,,,,,,
NA,0,Moore,Leonard,Charles,,,,,,,,,,
NA,1,Moran,Bertha,,,,,,,,,,,
NA,0,Moran,Daniel,J,,,,,,,,,,
NA,0,Moran,James,,,,,,,,,,,
NA,0,Morley,William,,,,,,,,,,,
NA,0,Morrow,Thomas,Rowan,,,,,,,,,,
NA,1,Moss,Albert,Johan,,,,,,,,,,
NA,1,Moubarek,Gerios,,,,,,,,,,,
NA,1,Moubarek,Halim,Gonios,"(""William","George"")",,,,,,,,
NA,1,Moubarek,George,(Omine,Amenia,Alexander),,,,,,,,
NA,1,Moussa,(Mantoura,Boulos),,,,,,,,,,
NA,0,Moutal,Rahamin,Haim,,,,,,,,,,
NA,1,Mullens,Katherine,Katie,,,,,,,,,,
NA,1,Mulvihill,Bertha,E,,,,,,,,,,
NA,0,Murdlin,Joseph,,,,,,,,,,,
NA,1,Murphy,Katherine,Kate,,,,,,,,,,
NA,1,Murphy,Margaret,Jane,,,,,,,,,,
NA,1,Murphy,Nora,,,,,,,,,,,
NA,0,Myhrman,Pehr,Fabian,Oliver,Malkolm,,,,,,,,
NA,0,Naidenoff,Penko,,,,,,,,,,,
NA,1,Najib,Adele,Kiamie,Jane,,,,,,,,,
NA,1,Nakid,Maria,"(""Mary"")",,,,,,,,,,
NA,1,Nakid,Sahid,,,,,,,,,,,
NA,1,Nakid,Said,(Waika,Mary,Mowad),,,,,,,,
NA,0,Nancarrow,William,Henry,,,,,,,,,,
NA,0,Nankoff,Minko,,,,,,,,,,,
NA,0,Nasr,Mustafa,,,,,,,,,,,
NA,0,Naughton,Hannah,,,,,,,,,,,
NA,0,Nenkoff,Christo,,,,,,,,,,,
NA,1,Nicola-Yarred,Elias,,,,,,,,,,,
NA,1,Nicola-Yarred,Jamila,,,,,,,,,,,
NA,0,Nieminen,Manta,Josefina,,,,,,,,,,
NA,0,Niklasson,Samuel,,,,,,,,,,,
NA,1,Nilsson,Berta,Olivia,,,,,,,,,,
NA,1,Nilsson,Helmina,Josefina,,,,,,,,,,
NA,0,Nilsson,August,Ferdinand,,,,,,,,,,
NA,0,Nirva,Iisakki,Antino,Aijo,,,,,,,,,
NA,1,Niskanen,Juha,,,,,,,,,,,
NA,0,Nosworthy,Richard,Cater,,,,,,,,,,
NA,0,Novel,Mansouer,,,,,,,,,,,
NA,1,Nysten,Anna,Sofia,,,,,,,,,,
NA,0,Nysveen,Johan,Hansen,,,,,,,,,,
NA,0,O'Brien,Thomas,,,,,,,,,,,
NA,0,O'Brien,Timothy,,,,,,,,,,,
NA,1,O'Brien,Thomas,(Johanna,Hannah,Godfrey),,,,,,,,
NA,0,O'Connell,Patrick,D,,,,,,,,,,
NA,0,O'Connor,Maurice,,,,,,,,,,,
NA,0,O'Connor,Patrick,,,,,,,,,,,
NA,0,Odahl,Nils,Martin,,,,,,,,,,
NA,0,O'Donoghue,Bridget,,,,,,,,,,,
NA,1,O'Driscoll,Bridget,,,,,,,,,,,
NA,1,O'Dwyer,Ellen,Nellie,,,,,,,,,,
NA,1,Ohman,Velin,,,,,,,,,,,
NA,1,O'Keefe,Patrick,,,,,,,,,,,
NA,1,O'Leary,Hanora,Norah,,,,,,,,,,
NA,1,Olsen,Artur,Karl,,,,,,,,,,
NA,0,Olsen,Henry,Margido,,,,,,,,,,
NA,0,Olsen,Karl,Siegwart,Andreas,,,,,,,,,
NA,0,Olsen,Ole,Martin,,,,,,,,,,
NA,0,Olsson,Elina,,,,,,,,,,,
NA,0,Olsson,Nils,Johan,Goransson,,,,,,,,,
NA,1,Olsson,Oscar,Wilhelm,,,,,,,,,,
NA,0,Olsvigen,Thor,Anderson,,,,,,,,,,
NA,0,Oreskovic,Jelka,,,,,,,,,,,
NA,0,Oreskovic,Marija,,,,,,,,,,,
NA,0,Oreskovic,Luka,,,,,,,,,,,
NA,0,Osen,Olaf,Elon,,,,,,,,,,
NA,1,Osman,Mara,,,,,,,,,,,
NA,0,O'Sullivan,Bridget,Mary,,,,,,,,,,
NA,0,Palsson,Gosta,Leonard,,,,,,,,,,
NA,0,Palsson,Paul,Folke,,,,,,,,,,
NA,0,Palsson,Stina,Viola,,,,,,,,,,
NA,0,Palsson,Torborg,Danira,,,,,,,,,,
NA,0,Palsson,Nils,(Alma,Cornelia,Berglund),,,,,,,,
NA,0,Panula,Eino,Viljami,,,,,,,,,,
NA,0,Panula,Juha,Niilo,,,,,,,,,,
NA,0,Panula,Urho,Abraham,,,,,,,,,,
NA,0,Panula,Ernesti,Arvid,,,,,,,,,,
NA,0,Panula,Jaako,Arnold,,,,,,,,,,
NA,0,Panula,Juha,(Maria,Emilia,Ojala),,,,,,,,
NA,0,Pasic,Jakob,,,,,,,,,,,
NA,0,Patchett,George,,,,,,,,,,,
NA,0,Paulner,Uscher,,,,,,,,,,,
NA,0,Pavlovic,Stefo,,,,,,,,,,,
NA,0,Peacock,Alfred,Edward,,,,,,,,,,
NA,0,Peacock,Treasteall,,,,,,,,,,,
NA,0,Peacock,Benjamin,(Edith,Nile),,,,,,,,,
NA,0,Pearce,Ernest,,,,,,,,,,,
NA,0,Pedersen,Olaf,,,,,,,,,,,
NA,0,Peduzzi,Joseph,,,,,,,,,,,
NA,0,Pekoniemi,Edvard,,,,,,,,,,,
NA,0,Peltomaki,Nikolai,Johannes,,,,,,,,,,
NA,0,Perkin,John,Henry,,,,,,,,,,
NA,1,Persson,Ernst,Ulrik,,,,,,,,,,
NA,1,Peter,Michael,J,,,,,,,,,,
NA,1,Peter,Anna,,,,,,,,,,,
NA,1,Peter,Catherine,(Catherine,Rizk),,,,,,,,,
NA,0,Peters,Katie,,,,,,,,,,,
NA,0,Petersen,Marius,,,,,,,,,,,
NA,0,Petranec,Matilda,,,,,,,,,,,
NA,0,Petroff,Nedelio,,,,,,,,,,,
NA,0,Petroff,Pastcho,"(""Pentcho"")",,,,,,,,,,
NA,0,Petterson,Johan,Emil,,,,,,,,,,
NA,0,Pettersson,Ellen,Natalia,,,,,,,,,,
NA,1,Pickard,Berk,(Berk,Trembisky),,,,,,,,,
NA,0,Plotcharsky,Vasil,,,,,,,,,,,
NA,0,Pokrnic,Mate,,,,,,,,,,,
NA,0,Pokrnic,Tome,,,,,,,,,,,
NA,0,Radeff,Alexander,,,,,,,,,,,
NA,0,Rasmussen,(Lena,Jacobsen,Solvang),,,,,,,,,
NA,0,Razi,Raihed,,,,,,,,,,,
NA,0,Reed,James,George,,,,,,,,,,
NA,0,Rekic,Tido,,,,,,,,,,,
NA,0,Reynolds,Harold,J,,,,,,,,,,
NA,0,Rice,Albert,,,,,,,,,,,
NA,0,Rice,Arthur,,,,,,,,,,,
NA,0,Rice,Eric,,,,,,,,,,,
NA,0,Rice,Eugene,,,,,,,,,,,
NA,0,Rice,George,Hugh,,,,,,,,,,
NA,0,Rice,William,(Margaret,Norton),,,,,,,,,
NA,0,Riihivouri,Susanna,Juhantytar,Sanni,,,,,,,,,
NA,0,Rintamaki,Matti,,,,,,,,,,,
NA,1,Riordan,Johanna,Hannah,,,,,,,,,,
NA,0,Risien,Samuel,Beard,,,,,,,,,,
NA,0,Risien,Samuel,(Emma),,,,,,,,,,
NA,0,Robins,Alexander,A,,,,,,,,,,
NA,0,Robins,Alexander,A,(Grace,Charity,Laury),,,,,,,
NA,0,Rogers,William,John,,,,,,,,,,
NA,0,Rommetvedt,Knud,Paust,,,,,,,,,,
NA,0,Rosblom,Salli,Helena,,,,,,,,,,
NA,0,Rosblom,Viktor,Richard,,,,,,,,,,
NA,0,Rosblom,Viktor,(Helena,Wilhelmina),,,,,,,,,
NA,1,Roth,Sarah,A,,,,,,,,,,
NA,0,Rouse,Richard,Henry,,,,,,,,,,
NA,0,Rush,Alfred,George,John,,,,,,,,,
NA,1,Ryan,Edward,,,,,,,,,,,
NA,0,Ryan,Patrick,,,,,,,,,,,
NA,0,Saad,Amin,,,,,,,,,,,
NA,0,Saad,Khalil,,,,,,,,,,,
NA,0,Saade,Jean,Nassr,,,,,,,,,,
NA,0,Sadlier,Matthew,,,,,,,,,,,
NA,0,Sadowitz,Harry,,,,,,,,,,,
NA,0,Saether,Simon,Sivertsen,,,,,,,,,,
NA,0,Sage,Thomas,Henry,,,,,,,,,,
NA,0,Sage,William,Henry,,,,,,,,,,
NA,0,Sage,Ada,,,,,,,,,,,
NA,0,Sage,Constance,Gladys,,,,,,,,,,
NA,0,Sage,Dorothy,Edith,Dolly,,,,,,,,,
NA,0,Sage,Stella,Anna,,,,,,,,,,
NA,0,Sage,Douglas,Bullen,,,,,,,,,,
NA,0,Sage,Frederick,,,,,,,,,,,
NA,0,Sage,George,John,Jr,,,,,,,,,
NA,0,Sage,John,George,,,,,,,,,,
NA,0,Sage,John,(Annie,Bullen),,,,,,,,,
NA,0,Salander,Karl,Johan,,,,,,,,,,
NA,1,Salkjelsvik,Anna,Kristine,,,,,,,,,,
NA,0,Salonen,Johan,Werner,,,,,,,,,,
NA,0,Samaan,Elias,,,,,,,,,,,
NA,0,Samaan,Hanna,,,,,,,,,,,
NA,0,Samaan,Youssef,,,,,,,,,,,
NA,1,Sandstrom,Beatrice,Irene,,,,,,,,,,
NA,1,Sandstrom,Hjalmar,(Agnes,Charlotta,Bengtsson),,,,,,,,
NA,1,Sandstrom,Marguerite,Rut,,,,,,,,,,
NA,1,Sap,Julius,,,,,,,,,,,
NA,0,Saundercock,William,Henry,,,,,,,,,,
NA,0,Sawyer,Frederick,Charles,,,,,,,,,,
NA,0,Scanlan,James,,,,,,,,,,,
NA,0,Sdycoff,Todor,,,,,,,,,,,
NA,0,Shaughnessy,Patrick,,,,,,,,,,,
NA,1,Sheerlinck,Jan,Baptist,,,,,,,,,,
NA,0,Shellard,Frederick,William,,,,,,,,,,
NA,1,Shine,Ellen,Natalia,,,,,,,,,,
NA,0,Shorney,Charles,Joseph,,,,,,,,,,
NA,0,Simmons,John,,,,,,,,,,,
NA,0,Sirayanian,Orsen,,,,,,,,,,,
NA,0,Sirota,Maurice,,,,,,,,,,,
NA,0,Sivic,Husein,,,,,,,,,,,
NA,0,Sivola,Antti,Wilhelm,,,,,,,,,,
NA,1,Sjoblom,Anna,Sofia,,,,,,,,,,
NA,0,Skoog,Harald,,,,,,,,,,,
NA,0,Skoog,Karl,Thorsten,,,,,,,,,,
NA,0,Skoog,Mabel,,,,,,,,,,,
NA,0,Skoog,Margit,Elizabeth,,,,,,,,,,
NA,0,Skoog,Wilhelm,,,,,,,,,,,
NA,0,Skoog,William,(Anna,Bernhardina,Karlsson),,,,,,,,
NA,0,Slabenoff,Petco,,,,,,,,,,,
NA,0,Slocovski,Selman,Francis,,,,,,,,,,
NA,0,Smiljanic,Mile,,,,,,,,,,,
NA,0,Smith,Thomas,,,,,,,,,,,
NA,1,Smyth,Julia,,,,,,,,,,,
NA,0,Soholt,Peter,Andreas,Lauritz,Andersen,,,,,,,,
NA,0,Somerton,Francis,William,,,,,,,,,,
NA,0,Spector,Woolf,,,,,,,,,,,
NA,0,Spinner,Henry,John,,,,,,,,,,
NA,0,Staneff,Ivan,,,,,,,,,,,
NA,0,Stankovic,Ivan,,,,,,,,,,,
NA,1,Stanley,Amy,Zillah,Elsie,,,,,,,,,
NA,0,Stanley,Edward,Roland,,,,,,,,,,
NA,0,Storey,Thomas,,,,,,,,,,,
NA,0,Stoytcheff,Ilia,,,,,,,,,,,
NA,0,Strandberg,Ida,Sofia,,,,,,,,,,
NA,1,Stranden,Juho,,,,,,,,,,,
NA,0,Strilic,Ivan,,,,,,,,,,,
NA,0,Strom,Telma,Matilda,,,,,,,,,,
NA,0,Strom,Wilhelm,(Elna,Matilda,Persson),,,,,,,,
NA,1,Sunderland,Victor,Francis,,,,,,,,,,
NA,1,Sundman,Johan,Julian,,,,,,,,,,
NA,0,Sutehall,Henry,Jr,,,,,,,,,,
NA,0,Svensson,Johan,,,,,,,,,,,
NA,1,Svensson,Johan,Cervin,,,,,,,,,,
NA,0,Svensson,Olof,,,,,,,,,,,
NA,1,Tenglin,Gunnar,Isidor,,,,,,,,,,
NA,0,Theobald,Thomas,Leonard,,,,,,,,,,
NA,1,Thomas,Assad,Alexander,,,,,,,,,,
NA,0,Thomas,Charles,P,,,,,,,,,,
NA,0,Thomas,John,,,,,,,,,,,
NA,0,Thomas,Tannous,,,,,,,,,,,
NA,1,Thomas,Alexander,(Thamine,Thelma),,,,,,,,,
NA,0,Thomson,Alexander,Morrison,,,,,,,,,,
NA,0,Thorneycroft,Percival,,,,,,,,,,,
NA,1,Thorneycroft,Percival,(Florence,Kate,White),,,,,,,,
NA,0,Tikkanen,Juho,,,,,,,,,,,
NA,0,Tobin,Roger,,,,,,,,,,,
NA,0,Todoroff,Lalio,,,,,,,,,,,
NA,0,Tomlin,Ernest,Portage,,,,,,,,,,
NA,0,Torber,Ernst,William,,,,,,,,,,
NA,0,Torfa,Assad,,,,,,,,,,,
NA,1,Tornquist,William,Henry,,,,,,,,,,
NA,0,Toufik,Nakli,,,,,,,,,,,
NA,1,Touma,Georges,Youssef,,,,,,,,,,
NA,1,Touma,Maria,Youssef,,,,,,,,,,
NA,1,Touma,Darwis,(Hanne,Youssef,Razi),,,,,,,,
NA,0,Turcin,Stjepan,,,,,,,,,,,
NA,1,Turja,Anna,Sofia,,,,,,,,,,
NA,1,Turkula,(Hedwig),,,,,,,,,,,
NA,0,van,Master.,James,William,,,,,,,,,
NA,0,van,Master.,Walter,John,,,,,,,,,
NA,0,van,Mr.,Austin,Blyler,,,,,,,,,
NA,0,Van,Miss.,Catharina,,,,,,,,,,
NA,0,Van,Mr.,Jean,Baptiste,,,,,,,,,
NA,0,Van,Mrs.,Jean,Baptiste,(Rosalie,Paula,Govaert),Govaert),,,,,
NA,0,van,Mr.,Philemon,,,,,,,,,,
NA,0,Vande,Mr.,Johannes,Joseph,,,,,,,,,
NA,0,Vande,Mr.,Nestor,Cyriel,,,,,,,,,
NA,0,Vanden,Mr.,Leo,Peter,,,,,,,,,
NA,0,Vander,Mr.,Victor,,,,,,,,,,
NA,0,Vander,Miss.,Augusta,Maria,,,,,,,,,
NA,0,Vander,Mr.,Julius,,,,,,,,,,
NA,0,Vander,Mr.,Leo,Edmondus,,,,,,,,,
NA,0,Vander,Mrs.,Julius,(Emelia,Maria,Vandemoortele),,,,,,,
NA,1,Vartanian,David,,,,,,,,,,,
NA,0,Vendel,Olof,Edvin,,,,,,,,,,
NA,0,Vestrom,Hulda,Amanda,Adolfina,,,,,,,,,
NA,0,Vovk,Janko,,,,,,,,,,,
NA,0,Waelens,Achille,,,,,,,,,,,
NA,0,Ware,Frederick,,,,,,,,,,,
NA,0,Warren,Charles,William,,,,,,,,,,
NA,0,Webber,James,,,,,,,,,,,
NA,0,Wenzel,Linhart,,,,,,,,,,,
NA,1,Whabee,George,Joseph,(Shawneene,Abi-Saab),,,,,,,,
NA,0,Widegren,Carl/Charles,Peter,,,,,,,,,,
NA,0,Wiklund,Jakob,Alfred,,,,,,,,,,
NA,0,Wiklund,Karl,Johan,,,,,,,,,,
NA,1,Wilkes,James,(Ellen,Needs),,,,,,,,,
NA,0,Willer,Aaron,"(""Abi","Weller"")",,,,,,,,,
NA,0,Willey,Edward,,,,,,,,,,,
NA,0,Williams,Howard,Hugh,Harry,,,,,,,,,
NA,0,Williams,Leslie,,,,,,,,,,,
NA,0,Windelov,Einar,,,,,,,,,,,
NA,0,Wirz,Albert,,,,,,,,,,,
NA,0,Wiseman,Phillippe,,,,,,,,,,,
NA,0,Wittevrongel,Camille,,,,,,,,,,,
NA,0,Yasbeck,Antoni,,,,,,,,,,,
NA,1,Yasbeck,Antoni,(Selini,Alexander),,,,,,,,,
NA,0,Youseff,Gerious,,,,,,,,,,,
NA,0,Yousif,Wazli,,,,,,,,,,,
NA,0,Yousseff,Gerious,,,,,,,,,,,
NA,0,Zabour,Hileni,,,,,,,,,,,
NA,0,Zabour,Thamine,,,,,,,,,,,
NA,0,Zakarian,Mapriededer,,,,,,,,,,,
NA,0,Zakarian,Ortin,,,,,,,,,,,
NA,0,Zimmerman,Leo,,,,,,,,,,,
